54.36.148.112 - - [31/Jan/2023:16:19:13 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /EasyBasketweaveBabyBlanket.pdf HTTP/1.1" 200 191698 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:58 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:58 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:58 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:58 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:58 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:58 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
95.108.213.229 - - [31/Jan/2023:17:32:03 -0800] "GET /biblearabic/toc.html HTTP/1.1" 200 1895 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
173.252.83.23 - - [31/Jan/2023:17:37:32 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "forgive490.com"
51.222.253.6 - - [31/Jan/2023:17:41:21 -0800] "GET /biblearabic/howtolive.html HTTP/1.1" 200 2848 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
17.241.219.57 - - [31/Jan/2023:17:47:50 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.forgive490.com"
17.241.219.57 - - [31/Jan/2023:17:47:50 -0800] "GET /EasyBasketweaveBabyBlanket.php HTTP/1.1" 200 11939 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.forgive490.com"
3.93.193.255 - - [31/Jan/2023:17:55:01 -0800] "GET /bible/img/image2.jpg HTTP/1.1" 200 88118 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0" "forgive490.com"
34.68.85.207 - - [31/Jan/2023:18:00:22 -0800] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "forgive490.com"
34.68.85.207 - - [31/Jan/2023:18:00:23 -0800] "GET /css/styles.css HTTP/1.1" 200 379 "https://forgive490.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "forgive490.com"
34.68.85.207 - - [31/Jan/2023:18:00:24 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "https://forgive490.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "forgive490.com"
34.68.85.207 - - [31/Jan/2023:18:00:24 -0800] "GET /img/whitesand.jpg HTTP/1.1" 200 54911 "https://forgive490.com/css/styles.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "forgive490.com"
34.68.85.207 - - [31/Jan/2023:18:00:26 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "https://forgive490.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "forgive490.com"
192.34.84.8 - - [31/Jan/2023:18:01:57 -0800] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "www.forgive490.com"
192.34.84.8 - - [31/Jan/2023:18:01:58 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "https://www.forgive490.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "www.forgive490.com"
192.34.84.8 - - [31/Jan/2023:18:01:58 -0800] "GET /css/styles.css HTTP/1.1" 200 379 "https://www.forgive490.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "www.forgive490.com"
192.34.84.8 - - [31/Jan/2023:18:02:14 -0800] "GET /img/whitesand.jpg HTTP/1.1" 200 54911 "https://www.forgive490.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "www.forgive490.com"
69.171.251.120 - - [31/Jan/2023:18:06:19 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.forgive490.com"
17.241.227.29 - - [31/Jan/2023:18:07:57 -0800] "GET /EasyBasketweaveBabyBlanket_files/image002.jpg HTTP/1.1" 200 8807 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "forgive490.com"
173.252.83.16 - - [31/Jan/2023:18:17:43 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.forgive490.com"
31.13.103.17 - - [31/Jan/2023:18:25:56 -0800] "GET /links.php HTTP/1.1" 200 14047 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.forgive490.com"
220.181.51.90 - - [31/Jan/2023:18:37:37 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "forgive490.com"
51.222.253.7 - - [31/Jan/2023:19:01:38 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "forgive490.com"
51.222.253.7 - - [31/Jan/2023:19:01:39 -0800] "GET /biblemand/tocm.html HTTP/1.1" 200 1765 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "forgive490.com"
51.222.253.19 - - [31/Jan/2023:19:33:17 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.16 - - [31/Jan/2023:19:33:21 -0800] "GET /bibleviet/toc.html HTTP/1.1" 200 1857 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
95.108.213.229 - - [31/Jan/2023:19:35:57 -0800] "GET /biblia-es/elprincipio HTTP/1.1" 200 5217 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
157.55.39.201 - - [31/Jan/2023:19:45:17 -0800] "GET /bible/img/image2.jpg HTTP/1.1" 200 88118 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "forgive490.com"
40.77.167.55 - - [31/Jan/2023:20:03:40 -0800] "GET /sitemap.xml HTTP/1.1" 200 170 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "forgive490.com"
195.191.219.131 - - [31/Jan/2023:20:03:46 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "www.forgive490.com"
195.191.219.131 - - [31/Jan/2023:20:03:51 -0800] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "www.forgive490.com"
103.131.71.76 - - [31/Jan/2023:20:10:50 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" "forgive490.com"
95.108.213.114 - - [31/Jan/2023:20:19:58 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.forgive490.com"
95.108.213.229 - - [31/Jan/2023:20:19:58 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
213.180.203.211 - - [31/Jan/2023:20:19:58 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
114.119.158.167 - - [31/Jan/2023:20:21:43 -0800] "GET /recipe.php HTTP/1.1" 200 10754 "https://www.forgive490.com/links.php" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.forgive490.com"
51.222.253.5 - - [31/Jan/2023:20:22:47 -0800] "GET /biblemand/whyreadm.html HTTP/1.1" 200 1444 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "forgive490.com"
17.241.75.62 - - [31/Jan/2023:20:28:45 -0800] "GET /biblearabic/word.html HTTP/1.1" 200 11879 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "forgive490.com"
51.222.253.12 - - [31/Jan/2023:20:41:46 -0800] "GET /biblia-por/cuales.html HTTP/1.1" 200 3561 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
17.241.227.248 - - [31/Jan/2023:20:49:49 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "forgive490.com"
114.119.141.173 - - [31/Jan/2023:20:55:17 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "forgive490.com"
114.119.157.196 - - [31/Jan/2023:20:56:32 -0800] "GET /biblia-es HTTP/1.1" 301 1413 "http://forgive490.com/" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "forgive490.com"
114.119.157.196 - - [31/Jan/2023:20:56:34 -0800] "GET /biblia-es/ HTTP/1.1" 200 406 "http://forgive490.com/" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "forgive490.com"
51.222.253.2 - - [31/Jan/2023:21:00:49 -0800] "GET /biblejapanese/inthebeginning.html HTTP/1.1" 200 5097 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.1 - - [31/Jan/2023:21:19:15 -0800] "GET /biblemand/howtolivem.html HTTP/1.1" 200 2639 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "forgive490.com"
95.108.213.229 - - [31/Jan/2023:21:33:23 -0800] "GET /biblemand/wordm.html HTTP/1.1" 200 9590 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
103.105.66.243 - - [31/Jan/2023:21:40:49 -0800] "GET /bible/img/image2.jpg HTTP/1.1" 200 88118 "https://id.images.search.yahoo.com/search/images;_ylt=AwrKAV5T.9ljhhkB197LQwx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3BpdnM-?p=cattegory+books&fr2=piv-web&type=E211ID1406G0&fr=mcafee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "www.forgive490.com"
103.131.71.138 - - [31/Jan/2023:21:42:21 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" "www.forgive490.com"
103.131.71.151 - - [31/Jan/2023:21:42:27 -0800] "GET /bibleviet/israel.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" "www.forgive490.com"
51.222.253.20 - - [31/Jan/2023:21:54:26 -0800] "GET /biblia-por/elprincipio.html HTTP/1.1" 200 5126 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.1 - - [31/Jan/2023:21:54:33 -0800] "GET /biblia-por/img/Image19.jpg HTTP/1.1" 200 3802 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.4 - - [31/Jan/2023:21:54:34 -0800] "GET /biblia-por/img/Image12.jpg HTTP/1.1" 200 6251 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.2 - - [31/Jan/2023:21:54:36 -0800] "GET /biblia-por/img/Image18.jpg HTTP/1.1" 200 27733 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.1 - - [31/Jan/2023:21:54:48 -0800] "GET /biblia-por/img/Image17.jpg HTTP/1.1" 200 6085 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.6 - - [31/Jan/2023:21:54:49 -0800] "GET /biblia-por/styles.css HTTP/1.1" 200 403 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.5 - - [31/Jan/2023:21:54:51 -0800] "GET /biblia-por/img/Image16.jpg HTTP/1.1" 200 4255 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.5 - - [31/Jan/2023:21:54:51 -0800] "GET /biblia-por/img/Image11.jpg HTTP/1.1" 200 192093 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.9 - - [31/Jan/2023:21:54:54 -0800] "GET /biblia-por/img/Image20.jpg HTTP/1.1" 200 4524 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.1 - - [31/Jan/2023:21:54:55 -0800] "GET /biblia-por/img/Image13.jpg HTTP/1.1" 200 58628 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.18 - - [31/Jan/2023:21:54:56 -0800] "GET /biblia-por/img/LosDiezMandamientos.jpg HTTP/1.1" 200 3563 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.6 - - [31/Jan/2023:21:54:57 -0800] "GET /biblia-por/img/Image22.jpg HTTP/1.1" 200 4944 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.16 - - [31/Jan/2023:21:54:58 -0800] "GET /biblia-por/img/Image15.jpg HTTP/1.1" 200 1588 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
51.222.253.12 - - [31/Jan/2023:22:12:36 -0800] "GET /biblegerman/ HTTP/1.1" 200 442 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "forgive490.com"
66.249.64.179 - - [31/Jan/2023:22:16:35 -0800] "GET /ads.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.forgive490.com"
40.77.167.55 - - [31/Jan/2023:22:18:37 -0800] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "www.forgive490.com"
66.249.64.20 - - [31/Jan/2023:22:18:39 -0800] "GET /ads.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "forgive490.com"
47.246.164.132 - - [31/Jan/2023:22:20:25 -0800] "GET /EasyBasketweaveBabyBlanket_files/image002.jpg HTTP/1.1" 200 8807 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0" "forgive490.com"
157.55.39.56 - - [31/Jan/2023:22:21:57 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:13 -0800] "GET /backcover.php HTTP/1.1" 200 9680 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:16 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:16 -0800] "GET /css/styles.css HTTP/1.1" 200 379 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:16 -0800] "GET /exploreGod.png HTTP/1.1" 200 3730 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:17 -0800] "GET /coverart.jpg HTTP/1.1" 200 3789 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:17 -0800] "GET /img/whitesand.jpg HTTP/1.1" 200 54911 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:17 -0800] "GET /contestweb.jpg HTTP/1.1" 200 92607 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:17 -0800] "GET /img/editorschoice.jpg HTTP/1.1" 200 1680 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
182.191.129.190 - - [31/Jan/2023:22:30:18 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
51.222.253.6 - - [31/Jan/2023:22:32:09 -0800] "GET /biblefrench/ HTTP/1.1" 200 569 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "forgive490.com"
182.191.138.94 - - [31/Jan/2023:22:32:41 -0800] "GET /index.php HTTP/1.1" 200 5836 "https://www.forgive490.com/backcover.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "www.forgive490.com"
40.77.167.55 - - [31/Jan/2023:22:33:40 -0800] "GET /sitemap.xml HTTP/1.1" 200 170 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "forgive490.com"
114.119.139.43 - - [31/Jan/2023:22:38:04 -0800] "GET /biblia-por/ HTTP/1.1" 200 437 "https://forgive490.com/index.php" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "forgive490.com"
42.236.10.73 - - [31/Jan/2023:22:41:48 -0800] "GET / HTTP/1.1" 200 5836 "https://forgive490.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36; 360Spider" "forgive490.com"
